source_id,source_slug,source_title,target_slug,target_hyperlink,anchor_text,full_crosslink_text,insert_after,confidence,model_notes
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,ovf6i08h,https://oecs.mit.edu/pub/ovf6i08h,Linguistic Universals,[see Linguistic Universals],in all languages,0.85,"The text states that slips occur in all languages, highlighting a universal property of human language."
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,l60gyowl,https://oecs.mit.edu/pub/l60gyowl,Sign Language,[see Sign Language],spoken and signed,0.95,The text explicitly mentions that speech errors occur in signed languages as well as spoken ones.
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,x0sk7df7,https://oecs.mit.edu/pub/x0sk7df7,Mental Representation,[see Mental Representation],represent and use,0.9,The text discusses how errors provide insight into how people represent language mentally.
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,xep4vfyz,https://oecs.mit.edu/pub/xep4vfyz,Phonology,[see Phonology],"syllables, and phonemes",0.95,"The text lists phonemes and syllables as units involved in errors, which are core concepts of phonology."
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,e222wyjy,https://oecs.mit.edu/pub/e222wyjy,Compositionality,[see Compositionality],as linguistic creativity,0.9,The text describes linguistic creativity (producing novel sentences) which is a key aspect of compositionality.
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,k8krmjgg,https://oecs.mit.edu/pub/k8krmjgg,Modularity,[see Modularity],architecture for language,0.85,"The text describes a multileveled architecture with distinct stages (grammatical vs phonological), supporting a modular view of language production."
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,1y8kpgak,https://oecs.mit.edu/pub/1y8kpgak,Ecological Validity,[see Ecological Validity],Naturalistic speech errors,0.9,"The text contrasts naturalistic speech errors with experimental methods, touching on issues of reliability and ecological validity."
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,sqfksg4p,https://oecs.mit.edu/pub/sqfksg4p,Inner Speech,[see Inner Speech],silently in their,0.95,"The text mentions speakers making errors even when reciting silently in their heads, a phenomenon of inner speech."
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,l6g6kh9i,https://oecs.mit.edu/pub/l6g6kh9i,Speech Errors,[see Speech Errors],spontaneous speech errors,1.0,The text explicitly references the analysis of spontaneous speech errors as a root of language production research.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,za65x7nh,https://oecs.mit.edu/pub/za65x7nh,Eye Movements,[see Eye Movements],speakers’ eye movements,1.0,The text discusses the methodology of monitoring speakers' eye movements during production tasks.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,i3s7fym4,https://oecs.mit.edu/pub/i3s7fym4,Common Ground,[see Common Ground],on common ground,1.0,The text explicitly mentions common ground in the context of audience design.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,kxdcbmqe,https://oecs.mit.edu/pub/kxdcbmqe,Syntactic Priming,[see Syntactic Priming],called syntactic priming,1.0,The text explicitly defines and discusses syntactic priming.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,xep4vfyz,https://oecs.mit.edu/pub/xep4vfyz,Phonology,[see Phonology],retrieve phonological information,0.9,"The text discusses the retrieval of phonological information, a key stage in production."
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,l0z54fpy,https://oecs.mit.edu/pub/l0z54fpy,Bilingualism,[see Bilingualism],least two languages,0.9,The text discusses speakers who converse in at least two languages within the Multilingualism section.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,ovf6i08h,https://oecs.mit.edu/pub/ovf6i08h,Linguistic Universals,[see Linguistic Universals],many universal tendencies,0.9,The text mentions linguists arguing for universal tendencies across languages.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,5wqto9iq,https://oecs.mit.edu/pub/5wqto9iq,Linguistic Variation,[see Linguistic Variation],variability among them,0.85,The text discusses the great variability among languages.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,imt0sy0t,https://oecs.mit.edu/pub/imt0sy0t,Action,[see Action],other motor actions,0.9,The text draws a direct comparison between language production and other motor actions.
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,epclh9no,https://oecs.mit.edu/pub/epclh9no,Literacy,[see Literacy],a written language,0.8,The text contrasts language acquisition with learning a written language.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,usvwqp80,https://oecs.mit.edu/pub/usvwqp80,Gesture,[see Gesture],examined gesture,1.0,The source article discusses the study of gesture within conversation analysis.
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,5wqto9iq,https://oecs.mit.edu/pub/5wqto9iq,Linguistic Variation,[see Linguistic Variation],that show variation,0.9,The text contrasts universal conversational features with linguistic structures that show variation.
